man,laki-lakidewasa
ga,tidak
iq,aku
jkw,jokowi
sbnrnya,sebenarnya
soale,soalnya
assesment,penilaian
magang2,magang
monmaap,mohonmaaf
gajadi,tidakjadi
gakan,tidakakan
da,lah
nyuwunsewu,maaf
pki,partaikomunisindonesia
lbh,lebih
dl,dulu
gara2,gara-gara
malming,malamminggu
tuh,itu
tetep,tetap
pdhal,padahal
skrang,sekarang
sumpahlah,sumpah
rto,requesttimeout
facetoface,tatapmuka
onlineclass,kelasonline
kgk,tidak
pliss,tolong
taknak,tidakmau
stress,stres
gausah,tidakusah
ndek,di
sampek,sampai
hp,handphone
ngesakno,menyusahkan
dekne,ngrsakno
universiti,universitas
ndilok,melihat
jelimet,rumit
cuba,coba
nak,mau
bnr,benar
belii,beli
mashok,masuk
udaa,sudah
gedeee,besar
worth,bernilai
baiknya,sebaiknya
gwe,aku
from,dari
home,rumah
mrka,mereka
mmf,maaf
dipke,dipakai
dipake,dipakai
gangerti,tidakmengerti
apa2,apa-apa
free,bebas
rt,retweet
nsk,mau
kayaknya,sepertinya
tu,itu
sekaly,sekali
rada,agak
nyantol,nyangkut
to,tryout
ptn,perguruantingginegeri
bareng,bareng-bareng
semangatt,semangat
dlm,dalam
gesss,guys
smoga,semoga
skuy,yuk
gugel,google
gamau,tidakmau
skrng,sekarang
bgini,begini
bljr,belajar
misqueen,miskin
menjadu,menjadi
vc,videocall
mb,
spp,sumbanganpembinaanpendidikan
mbolos,bolos
krena,karena
nggk,enggak
bkan,bukan
diy,daerahistimewayogyakarta
manala,manayang
yaaa,ya
nambah2,nambah-nambah
keja,kerja
akuu,aku
tuu,itu
gituu,gitu
hengpon,handphone
murit,murid
klayapan,kelayapan
ngilang,hilang
gilaaaaa,gila
ukt,uangkuliahtinggal
kgn,kangen
kls,kelas
kpai,komisiperlindungananakindonesia
mksdnya,maksudnya
gimna,gimana
riweh,ribet
brou,bro
kmtllll,kontol
pembelajaranjarakjauh,pembelajaranjarakjauh
jaklingko,jaklingko
mrt,massrapidtransit
tj,transjakarta
ajaa,saja
dg,dengan
susa,susah
kepotong,terpotong
gagssan,gagasan
pdhl,padahal
gate,gerbang
mff,maaf
rb,ribu
k,ribu
love,cinta
luv,cinta
laff,cinta
kilo,kilometer
bner,benar
lagian,lagipula
nampar,tampar
tx,terimakasih
app,aplikasi
gmau,tidakmau
gmw,tidakmau
mw,mau
slh,salah
mikir,berpikir
pnggil,panggil
brnti,berhenti
stop,berhenti
krtu,kartu
faham,paham
phm,paham
diarahin,diarahkan
gabawa,tidakmembawa
gapake,tidakmemakai
gapaham,tidakpaham
gaguna,tidakberguna
